algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"InsertionSorting","reverse entropy | h=0,50 | n=1000 | run=1","reverse_entropy",0.50,1000,1,465718,464731,1860898,118
"InsertionSorting","reverse entropy | h=0,50 | n=1000 | run=2","reverse_entropy",0.50,1000,2,461893,460907,1845600,118
"InsertionSorting","reverse entropy | h=0,50 | n=1000 | run=3","reverse_entropy",0.50,1000,3,464651,463669,1856640,116
"InsertionSorting","reverse entropy | h=0,50 | n=1000 | run=4","reverse_entropy",0.50,1000,4,460996,460031,1842054,113
"InsertionSorting","entropy | h=0,75 | n=1000 | run=1","entropy",0.75,1000,1,215987,214988,861950,120
"InsertionSorting","entropy | h=0,75 | n=1000 | run=2","entropy",0.75,1000,2,219451,218456,875814,46
"InsertionSorting","entropy | h=0,75 | n=1000 | run=3","entropy",0.75,1000,3,215968,214976,861888,44
"InsertionSorting","entropy | h=0,75 | n=1000 | run=4","entropy",0.75,1000,4,214309,213318,855254,43
"InsertionSorting","reverse entropy | h=0,75 | n=1000 | run=1","reverse_entropy",0.75,1000,1,288933,287942,1153750,61
"InsertionSorting","reverse entropy | h=0,75 | n=1000 | run=2","reverse_entropy",0.75,1000,2,288012,287022,1150068,61
"InsertionSorting","reverse entropy | h=0,75 | n=1000 | run=3","reverse_entropy",0.75,1000,3,293442,292448,1171780,61
"InsertionSorting","reverse entropy | h=0,75 | n=1000 | run=4","reverse_entropy",0.75,1000,4,290488,289494,1159964,141
